BOS;BAG;BRA;RSS
8,434986098;9,031881372;4,878232159;5,927201112
6,690680028;8,73023633;5,858115153;5,647798888
7,124600324;9,181510658;5,991212929;5,981556997
7,121287071;8,986816497;4,54099861;6,649026877
6,653252433;8,877826691;5,551818814;5,571733086
7,425863068;9,269694161;7,051789852;3,881620714
7,121570899;8,561468953;6,4317076;5,984482159
6,037436284;8,830908248;6,361677479;6,069838971
7,279095227;8,217215014;6,389034986;5,4061607
5,621281279;9,314110287;6,558051437;5,793361909
7,26221038;8,857622799;5,57439759;5,677276413
5,637279889;9,463600556;7,407078313;6,901558156
7,471472428;8,217238184;6,091404078;5,735495829
6,505253707;8,214921223;6,012204588;5,141149212
7,249125348;7,676552363;5,457414272;5,211544254
