BAG;RSS;BOS;BRA
0,806009217;0,590281167;0,806009217;0,558758282
0,77239356;0,530547079;0,77239356;0,577027207
0,770125561;0,563404654;0,770125561;0,529374287
0,758484948;0,602343964;0,758484948;0,537298408
0,721263794;0,527832425;0,721263794;0,532672738
0,777742864;0,529891186;0,777742864;0,463363786
0,806700405;0,571118482;0,806700405;0,364666279
0,788319136;0,603958035;0,788319136;0,583960252
0,780730142;0,58282477;0,780730142;0,519327405
0,776508465;0,564774152;0,776508465;0,540478362
0,739381688;0,58494669;0,739381688;0,502666945
0,779020348;0,574191259;0,779020348;0,587107829
0,78135418;0,438599459;0,78135418;0,385747083
0,776172549;0,632708388;0,776172549;0,549829008
0,773489008;0,565246733;0,773489008;0,527386635
0,794596117;0,563397684;0,794596117;0,431138682
0,76455027;0,515218998;0,76455027;0,523302189
0,799836592;0,556790771;0,799836592;0,537277062
0,780489876;0,554814586;0,780489876;0,371722367
0,788433423;0,541211258;0,788433423;0,48756171
0,844893725;0,39909225;0,844893725;0,645268315
0,756001926;0,553541392;0,756001926;0,62058694
0,800427959;0,555172201;0,800427959;0,580633535
0,775434243;0,532585682;0,775434243;0,58778454
0,858187506;0,536792827;0,858187506;0,596166936
0,803561751;0,57850022;0,803561751;0,523090258
0,836104653;0,605749583;0,836104653;0,605425223
0,748248659;0,550710959;0,748248659;0,604157905
0,780217968;0,479562174;0,780217968;0,552559895
0,733489438;0,515885477;0,733489438;0,520661292
0,745416232;0,424609461;0,745416232;0,430963956
0,742032928;0,485012379;0,742032928;0,516904118
0,823486959;0,528174014;0,823486959;0,58735862
0,829966565;0,444567833;0,829966565;0,423768397
0,770634331;0,590735951;0,770634331;0,502215999
0,75162087;0,568133611;0,75162087;0,511325911
0,795573862;0,429275378;0,795573862;0,609512726
0,764885591;0,49649903;0,764885591;0,590911122
0,758244882;0,510823242;0,758244882;0,559017645
0,754850962;0,433351425;0,754850962;0,516227191
0,802601024;0,573800949;0,802601024;0,481442622
0,777219835;0,567444326;0,777219835;0,478573286
0,8159473;0,487772538;0,8159473;0,61708048
0,800748543;0,549803804;0,800748543;0,49577253
0,845830364;0,527310574;0,845830364;0,507662349
0,78018564;0,55566332;0,78018564;0,596446678
0,827361636;0,606032542;0,827361636;0,675479952
0,811830565;0,454228164;0,811830565;0,459769338
0,780434782;0,5982454;0,780434782;0,508162365
0,801011894;0,523745218;0,801011894;0,558231727
0,773407355;0,542310519;0,773407355;0,529293795
0,796778833;0,447229146;0,796778833;0,524942613
0,836186199;0,591610779;0,836186199;0,579848565
0,767629513;0,510532881;0,767629513;0,316711599
0,817084633;0,524108105;0,817084633;0,567097125
0,794419249;0,43205625;0,794419249;0,434493465
0,743997692;0,620401424;0,743997692;0,418336021
0,795259249;0,498496723;0,795259249;0,468156596
0,737879801;0,543261382;0,737879801;0,37882765
0,800726303;0,46442208;0,800726303;0,406923721
